filename,chroma_stft,rms,spectral_centroid,spectral_bandwidth,rolloff,zero_crossing_rate,mfcc1,mfcc2,mfcc3,mfcc4,mfcc5,mfcc6,mfcc7,mfcc8,mfcc9,mfcc10,mfcc11,mfcc12,mfcc13,mfcc14,mfcc15,mfcc16,mfcc17,mfcc18,mfcc19,mfcc20,label
0000_101_000_30s.wav,0.24455531,0.10806546,1978.0372167508465,1743.014902111715,3340.921464571643,0.06421786565160603,-299.34125,178.6442,-28.226297,2.7757,7.8842673,-31.155718,-15.548293,-6.3536654,-19.00436,-22.65376,-12.164825,-6.220123,-14.120461,-10.825838,-5.552648,-12.812614,-6.7885303,1.0886784,-3.9476266,-3.569903,1
0001_101_010_30s.wav,0.21651354,0.12894543,1278.4236799379325,1423.1401149692133,2341.677506863148,0.03421086644978715,-265.5025,196.09285,-38.420193,1.0459585,8.296706,-33.58934,-15.670871,-8.440594,-22.636145,-25.22248,-12.672467,-4.9138536,-14.34359,-11.583628,-5.2695403,-13.345599,-7.5571575,0.55530834,-4.196743,-2.9001033,1
0002_101_020_30s.wav,0.22026365,0.120952666,1313.8938134581283,1443.1963848963946,2401.260479906395,0.03627472396236455,-269.042,195.20076,-38.863663,1.5867839,8.219169,-33.437973,-15.462596,-8.871051,-23.109911,-25.617651,-12.067221,-3.935151,-14.011928,-10.349944,-4.694918,-14.627235,-8.396048,0.0873157,-3.8741734,-1.5579418,1
0003_101_030_30s.wav,0.22189188,0.12119118,1348.8665049872288,1455.6929990827473,2490.876604676616,0.03702906558388158,-268.62518,195.40996,-41.767494,3.3899705,8.641113,-34.25549,-14.855653,-8.130216,-23.214905,-26.324251,-11.932539,-3.6717753,-14.314272,-9.921108,-4.2130966,-14.884793,-8.993458,-1.1012864,-4.639226,-1.3793802,1
0004_101_040_30s.wav,0.23444293,0.11142882,1345.140589276063,1476.0779812855747,2529.551370815596,0.0352996731690209,-277.3593,193.16905,-38.057518,4.5019946,9.907782,-36.05135,-17.290815,-6.3202467,-21.63164,-26.963615,-12.750501,-5.174763,-15.59119,-10.454106,-5.321232,-15.405966,-9.025637,-1.890793,-5.3352227,-0.79305416,1
0005_101_050_30s.wav,0.23333822,0.10744845,1374.7121108128104,1490.3381937826387,2617.8508368808048,0.03563470515673375,-279.4975,193.41315,-39.400276,5.0703883,10.143961,-37.551926,-18.49582,-5.758628,-20.717077,-27.716295,-13.420646,-5.508265,-16.697989,-10.579727,-4.435078,-14.171588,-7.1373825,-0.8687197,-5.9373336,-1.6857672,1
0006_101_060_30s.wav,0.2274812,0.11303189,1404.72456825825,1485.080584930908,2651.4006340097717,0.038271688455398606,-267.1549,179.10399,-32.828724,-2.2121925,9.404795,-34.194004,-19.925552,-6.0284543,-22.000925,-27.90836,-12.235394,-4.632057,-13.267279,-7.33674,-1.9638377,-11.286148,-7.94501,-2.4168122,-6.742799,-4.3927264,1
0007_101_070_30s.wav,0.21220562,0.12086958,1443.890358740066,1490.4898640430897,2723.225199696449,0.03997179155379257,-262.54373,178.45746,-36.653233,-2.3057356,7.868034,-33.706753,-18.29996,-6.9198303,-21.969599,-27.505829,-11.834204,-3.3437092,-11.898483,-4.561013,1.9568943,-8.247138,-6.5719075,-2.8396888,-8.028202,-6.1610537,1
0008_101_080_30s.wav,0.21269761,0.13561633,1393.370291348423,1435.9504223039687,2573.734436979973,0.03930153861503483,-252.79688,184.61575,-39.078106,-4.431736,5.8009696,-32.746197,-15.2816305,-7.2284694,-22.543322,-25.818275,-11.040967,-3.2275293,-11.689699,-5.5834756,1.2541602,-8.154217,-6.9034986,-2.4392145,-7.3109474,-6.7842054,1
0009_101_090_30s.wav,0.22652553,0.13494109,1329.4133170248977,1404.0266398490312,2440.285243928986,0.03676413899235681,-253.71962,195.44617,-39.987137,-2.7662923,6.0277653,-33.14196,-14.196211,-6.2954965,-21.53612,-25.493778,-11.196907,-4.1604886,-14.679438,-9.128019,-1.5875944,-9.707336,-5.4122143,0.45597982,-4.810436,-4.418857,1
0010_101_100_30s.wav,0.22575931,0.14014141,1250.319259827066,1353.003879213603,2230.9531763980262,0.03450149205446981,-251.63951,204.16885,-40.0867,-3.137876,7.4417524,-31.7172,-13.7982855,-7.949925,-23.084803,-25.425167,-11.42798,-4.1274014,-14.838249,-11.14574,-3.9200692,-12.586505,-8.439657,-0.059260696,-3.588616,-3.488017,1
0011_101_110_30s.wav,0.22209941,0.13578719,1251.4232186439924,1365.3672663800853,2230.494845836155,0.03417930957333591,-257.6759,200.6391,-37.17105,-2.2735891,7.6545568,-32.646576,-14.764377,-7.7385406,-23.56655,-26.380545,-11.716427,-4.041663,-14.625509,-10.879684,-4.328303,-13.51061,-9.66773,-0.87063354,-3.1943882,-2.0312622,1
0012_101_120_30s.wav,0.21536197,0.13694237,1258.476191545162,1384.7407603744578,2244.678093405331,0.03401547836445434,-260.62402,199.00299,-36.880314,0.21882871,7.1237965,-32.992496,-14.7994175,-8.364121,-23.296038,-26.511852,-12.062927,-4.5554338,-15.15332,-10.633738,-4.155657,-13.676807,-10.112279,-1.68448,-3.5579512,-1.3965834,1
0013_101_130_30s.wav,0.2272039,0.13234843,1304.8227788229785,1419.5130241106283,2377.018959824884,0.03484011434549149,-262.21094,194.82896,-36.317974,1.3865224,5.8616824,-35.200363,-15.456286,-6.3736672,-21.605127,-27.1451,-12.608951,-5.370572,-16.40608,-10.483613,-3.7818308,-12.064531,-6.649413,-0.0070723305,-3.7138925,-1.4610248,1
0014_101_140_30s.wav,0.22255044,0.14010327,1320.1495941669227,1404.8245924144612,2411.6770835852844,0.03583292769204721,-254.74507,191.49446,-36.761253,-2.118711,6.3610015,-34.221603,-16.453201,-6.714626,-22.051003,-27.3988,-12.844028,-5.333805,-15.260192,-8.950508,-1.3098757,-9.18526,-6.271531,-1.7570748,-5.7923503,-3.3725455,1
0015_101_150_30s.wav,0.21066912,0.14751107,1327.6414220802278,1379.491092899412,2353.844099960091,0.03774032356569272,-251.2352,185.2191,-34.59033,-8.904197,5.5394325,-32.42106,-18.269236,-7.790241,-23.729609,-27.788715,-12.486525,-4.641039,-11.636345,-5.664475,1.3763818,-6.4729652,-6.9455967,-4.453766,-8.530876,-6.3070154,1
0016_101_160_30s.wav,0.2134738,0.15331498,1280.2537378063137,1344.4607524773267,2211.578293555292,0.03681515909200851,-248.94423,188.04779,-33.451275,-11.295382,4.8535843,-30.886017,-17.685528,-8.078225,-23.832968,-27.525656,-12.814244,-5.457323,-12.237643,-6.6149893,1.0311769,-6.0398583,-6.984605,-4.009986,-7.8795056,-6.642563,1
0017_101_170_30s.wav,0.22154158,0.14594518,1200.999430357654,1323.5350540616769,2042.7626476937403,0.033311212025928794,-252.96358,191.37648,-26.528227,-11.939567,6.1862636,-27.613665,-18.206287,-8.063121,-22.650707,-27.040035,-12.677756,-5.8441143,-12.682294,-8.119432,-1.7463753,-7.825682,-7.0680456,-2.6470618,-5.7938614,-5.126063,1
0018_102_000_30s.wav,0.23164047,0.47790962,1148.4962438173918,1148.7704450782091,1968.121432372291,0.03410448009384675,-174.69377,210.77481,-17.270948,-33.546455,21.231756,14.290305,-21.767693,-16.908222,-7.3785925,-21.61636,-18.6312,-1.7129065,-6.719781,-13.178778,-0.48158637,2.5826552,-9.5870905,-7.13981,5.8619123,3.2909086,1
0019_102_010_30s.wav,0.22022994,0.5103681,1027.3171406360711,1162.8793022776638,1820.1973268491197,0.026022140455688854,-163.21358,215.6415,-21.007626,-32.825115,20.787802,13.845245,-22.121178,-17.601213,-7.893326,-22.331568,-19.477509,-2.478159,-7.201323,-13.310139,-0.06823438,3.5590782,-7.9039636,-5.26972,7.4795027,4.327708,1
